rtt_bucket,lower_bound,ping_count
1,0.0,4787465
2,10.0,3666541
3,20.0,2715116
4,30.0,1582846
5,40.0,1479540
6,50.0,920215
7,60.0,24698
8,70.0,176394
9,80.0,4062841
10,90.0,4360127
11,100.0,4792524
12,110.0,3781600
13,120.0,214651
14,130.0,734065
15,140.0,858407
16,150.0,5282497
17,160.0,1239654
18,170.0,2114453
19,180.0,76363
20,190.0,547282
21,200.0,319494
22,210.0,2137485
23,220.0,780567
24,230.0,3267921
25,240.0,5111784
26,250.0,2268516
27,260.0,2856482
28,270.0,724564
29,280.0,121635
30,290.0,1008656
31,300.0,3761291
32,310.0,1818317
33,320.0,2389870
34,330.0,789188
35,340.0,383636
36,350.0,1035111
37,360.0,417040
38,370.0,164772
39,380.0,1314767
40,390.0,837764
41,400.0,6799719
