rtt_bucket,lower_bound,ping_count
1,0.0,2723115
2,10.0,5060719
3,20.0,2818277
4,30.0,2445865
5,40.0,2435986
6,50.0,160413
7,60.0,1038316
8,70.0,444
9,80.0,1913732
10,90.0,3130971
11,100.0,5979493
12,110.0,2430455
13,120.0,2583321
14,130.0,3311176
15,140.0,5047265
16,150.0,3388065
17,160.0,943403
18,170.0,6852911
19,180.0,4851281
20,190.0,623028
21,200.0,1660565
22,210.0,1730177
23,220.0,347966
24,230.0,1120260
25,240.0,2868441
26,250.0,2865614
27,260.0,2755874
28,270.0,4532707
29,280.0,2969284
30,290.0,1890758
31,300.0,1865899
32,310.0,771368
33,320.0,770887
34,330.0,283305
35,340.0,190056
36,350.0,23154
37,360.0,46968
38,370.0,6663
39,380.0,623873
40,390.0,290189
41,400.0,3447727
