rtt_bucket,lower_bound,ping_count
1,0.0,4891922
2,10.0,3750022
3,20.0,2690551
4,30.0,1592269
5,40.0,1461528
6,50.0,903926
7,60.0,25470
8,70.0,229409
9,80.0,4094578
10,90.0,4457731
11,100.0,4807272
12,110.0,3818551
13,120.0,216591
14,130.0,782333
15,140.0,920686
16,150.0,5330527
17,160.0,1233873
18,170.0,2134220
19,180.0,76377
20,190.0,543479
21,200.0,313226
22,210.0,2126476
23,220.0,779626
24,230.0,3275059
25,240.0,4962993
26,250.0,2229931
27,260.0,2757862
28,270.0,726560
29,280.0,119723
30,290.0,1014121
31,300.0,3729242
32,310.0,1794728
33,320.0,2380153
34,330.0,778238
35,340.0,400194
36,350.0,1048812
37,360.0,436684
38,370.0,170219
39,380.0,1349643
40,390.0,838129
41,400.0,6785735
