"rtt_bucket","lower_bound","ping_count"
1,"0.0000000000000000","5060859"
2,"10.0000000000000000","3976918"
3,"20.0000000000000000","2866782"
4,"30.0000000000000000","1696185"
5,"40.0000000000000000","1564912"
6,"50.0000000000000000","947875"
7,"60.0000000000000000","26381"
8,"70.0000000000000000","229587"
9,"80.0000000000000000","4250672"
10,"90.0000000000000000","4606479"
11,"100.0000000000000000","5101740"
12,"110.0000000000000000","3971356"
13,"120.0000000000000000","228199"
14,"130.0000000000000000","846864"
15,"140.0000000000000000","1017806"
16,"150.0000000000000000","5731410"
17,"160.0000000000000000","1356349"
18,"170.0000000000000000","2297798"
19,"180.0000000000000000","96433"
20,"190.0000000000000000","587030"
21,"200.0000000000000000","337430"
22,"210.0000000000000000","2184160"
23,"220.0000000000000000","795612"
24,"230.0000000000000000","3458153"
25,"240.0000000000000000","5453701"
26,"250.0000000000000000","2439911"
27,"260.0000000000000000","3017169"
28,"270.0000000000000000","745287"
29,"280.0000000000000000","127822"
30,"290.0000000000000000","1060290"
31,"300.0000000000000000","3879247"
32,"310.0000000000000000","1937269"
33,"320.0000000000000000","2488673"
34,"330.0000000000000000","815889"
35,"340.0000000000000000","444684"
36,"350.0000000000000000","1112506"
37,"360.0000000000000000","454267"
38,"370.0000000000000000","179709"
39,"380.0000000000000000","1406831"
40,"390.0000000000000000","873903"
41,"400.0000000000000000","7278927"
