"hour","src_addr","prcount","rtt_bucket","lower_bound","ping_count"
"2025-01-20 00:00:00+00","10.0.0.1","46801",1,"0.0000000000000000","1"
"2025-01-20 00:00:00+00","10.0.0.1","46801",17,"160.0000000000000000","3600"
"2025-01-20 00:00:00+00","10.0.0.1","46801",33,"320.0000000000000000","3600"
"2025-01-20 00:00:00+00","10.0.0.1","46801",34,"330.0000000000000000","3600"
"2025-01-20 00:00:00+00","10.0.0.1","46801",36,"350.0000000000000000","7199"
"2025-01-20 00:00:00+00","10.0.0.1","46801",37,"360.0000000000000000","1"
"2025-01-20 00:00:00+00","10.0.0.1","46801",41,"400.0000000000000000","28800"
"2025-01-20 00:00:00+00","10.0.2.1","33",1,"0.0000000000000000","8"
"2025-01-20 00:00:00+00","10.0.2.1","33",2,"10.0000000000000000","6"
"2025-01-20 00:00:00+00","10.0.2.1","33",4,"30.0000000000000000","3"
"2025-01-20 00:00:00+00","10.0.2.1","33",9,"80.0000000000000000","5"
"2025-01-20 00:00:00+00","10.0.2.1","33",10,"90.0000000000000000","2"
"2025-01-20 00:00:00+00","10.0.2.1","33",16,"150.0000000000000000","2"
"2025-01-20 00:00:00+00","10.0.2.1","33",19,"180.0000000000000000","2"
"2025-01-20 00:00:00+00","10.0.2.1","33",25,"240.0000000000000000","2"
"2025-01-20 00:00:00+00","10.0.2.1","33",41,"400.0000000000000000","3"
"2025-01-20 00:00:00+00","10.10.0.1","43178",1,"0.0000000000000000","3601"
"2025-01-20 00:00:00+00","10.10.0.1","43178",2,"10.0000000000000000","10792"
"2025-01-20 00:00:00+00","10.10.0.1","43178",3,"20.0000000000000000","3600"
"2025-01-20 00:00:00+00","10.10.0.1","43178",9,"80.0000000000000000","3598"
"2025-01-20 00:00:00+00","10.10.0.1","43178",11,"100.0000000000000000","3597"
"2025-01-20 00:00:00+00","10.10.0.1","43178",13,"120.0000000000000000","1"
"2025-01-20 00:00:00+00","10.10.0.1","43178",25,"240.0000000000000000","7197"
"2025-01-20 00:00:00+00","10.10.0.1","43178",41,"400.0000000000000000","10792"
"2025-01-20 00:00:00+00","10.230.53.144","503",1,"0.0000000000000000","102"
"2025-01-20 00:00:00+00","10.230.53.144","503",9,"80.0000000000000000","68"
"2025-01-20 00:00:00+00","10.230.53.144","503",10,"90.0000000000000000","68"
