rtt_bucket,lower_bound,ping_count
1,0.0,3805944
2,10.0,7129919
3,20.0,3160876
4,30.0,2583163
5,40.0,2471689
6,50.0,160533
7,60.0,1073893
8,70.0,471
9,80.0,2187396
10,90.0,4080569
11,100.0,8020409
12,110.0,2729988
13,120.0,3245598
14,130.0,4408469
15,140.0,7227322
16,150.0,3843566
17,160.0,1109265
18,170.0,8570584
19,180.0,5280047
20,190.0,678589
21,200.0,1676802
22,210.0,1770394
23,220.0,559728
24,230.0,1686575
25,240.0,3442542
26,250.0,3707270
27,260.0,3101619
28,270.0,5479990
29,280.0,3567276
30,290.0,2011699
31,300.0,2640033
32,310.0,809460
33,320.0,803483
34,330.0,339058
35,340.0,207655
36,350.0,26165
37,360.0,47221
38,370.0,6927
39,380.0,1008729
40,390.0,327749
41,400.0,3476396
