rtt_bucket,lower_bound,ping_count
1,0.0,5066963
2,10.0,9987312
3,20.0,4989045
4,30.0,3731852
5,40.0,4469644
6,50.0,335463
7,60.0,1062040
8,70.0,1178
9,80.0,2197522
10,90.0,8257391
11,100.0,9525340
12,110.0,5609217
13,120.0,6262537
14,130.0,6512421
15,140.0,8588043
16,150.0,3818405
17,160.0,1104798
18,170.0,11693813
19,180.0,8245510
20,190.0,973418
21,200.0,1927837
22,210.0,1887408
23,220.0,628120
24,230.0,1783839
25,240.0,3345788
26,250.0,5848661
27,260.0,3959153
28,270.0,5927276
29,280.0,3714248
30,290.0,1894200
31,300.0,2810882
32,310.0,767423
33,320.0,900484
34,330.0,348249
35,340.0,210104
36,350.0,21541
37,360.0,51451
38,370.0,11056
39,380.0,1089804
40,390.0,340519
41,400.0,3468110
