"src_addr","dst_addr","avg"
"10.0.0.1","128.112.49.68","304.2852759339818311"
"10.0.0.1","129.132.230.98","398.0413695042358154"
"10.0.0.1","134.75.253.186","378.2517283280078841"
"10.0.0.1","134.75.254.171","289.6140973734074795"
"10.0.0.1","134.75.254.214","135.6529474612298076"
"10.0.0.1","134.75.254.68","1.0903426791277259"
"10.0.0.1","137.132.22.29","340.2237309025801456"
"10.0.0.1","141.44.25.151","403.8686978205134507"
"10.0.0.1","145.40.89.243","332.4867251912258123"
"10.0.0.1","200.129.206.243","436.7233518059281003"
"10.0.0.1","62.40.110.132","390.0841566083177104"
"10.0.0.1","62.40.110.140","386.0157599239423051"
"10.0.0.1","62.40.110.148","393.4580409366990837"
"10.0.1.1","128.112.49.68","96.9309493547904144"
"10.0.1.1","129.132.230.98","12.0342831195368373"
"10.0.1.1","134.75.253.186","33.5385201340160566"
"10.0.1.1","134.75.254.171","99.6467261491020764"
"10.0.1.1","134.75.254.214","254.4210982037896121"
"10.0.1.1","134.75.254.68","360.9226232244116141"
"10.0.1.1","137.132.22.29","174.8401169228043757"
"10.0.1.1","141.44.25.151","36.7854984703693191"
"10.0.1.1","145.40.89.243","101.6743571758074403"
"10.0.1.1","200.129.206.243","142.5604368486658525"
"10.0.1.1","62.40.110.132","1.0176470588235294"
"10.0.1.1","62.40.110.140","16.0287411780287979"
"10.0.1.1","62.40.110.148","8.0051541519907755"
"10.0.2.1","128.112.49.68","88.7371202113606341"
"10.0.2.1","129.132.230.98","12.7818704284221526"
"10.0.2.1","134.75.253.186","22.4312746932834269"
"10.0.2.1","134.75.254.171","96.1994273443092341"
"10.0.2.1","134.75.254.214","248.0699913768324231"
"10.0.2.1","134.75.254.68","377.3151454074287360"
"10.0.2.1","137.132.22.29","189.5559706854433108"
"10.0.2.1","141.44.25.151","31.8563767168083715"
"10.0.2.1","145.40.89.243","87.7766410912190963"
"10.0.2.1","200.129.206.243","155.1361738880092126"
"10.0.2.1","62.40.110.132","16.0308174458083050"
"10.0.2.1","62.40.110.140","1.0545454545454545"
"10.0.2.1","62.40.110.148","8.1617032392894462"
"10.0.3.1","128.112.49.68","99.4902472050940588"
"10.0.3.1","129.132.230.98","4.0546829801367075"
"10.0.3.1","134.75.253.186","34.8053670908026792"
"10.0.3.1","134.75.254.171","102.9770848252066923"
"10.0.3.1","134.75.254.214","256.2913319147088201"
"10.0.3.1","134.75.254.68","415.2841286735159321"
"10.0.3.1","137.132.22.29","181.9117186820829349"
"10.0.3.1","141.44.25.151","39.9293546029152513"
"10.0.3.1","145.40.89.243","93.2999782986111111"
"10.0.3.1","200.129.206.243","146.5606040851803564"
"10.0.3.1","62.40.110.132","8.0100919200359967"
"10.0.3.1","62.40.110.140","8.0418702322790777"
"10.0.3.1","62.40.110.148","1.0067796610169492"
"10.1.0.1","128.112.49.68","173.5294745862253955"
"10.1.0.1","129.132.230.98","262.3352438892821337"
"10.1.0.1","134.75.253.186","242.5913506163848717"
"10.1.0.1","134.75.254.171","154.0315862184341674"
"10.1.0.1","134.75.254.214","1.4030746320953048"
"10.1.0.1","134.75.254.68","135.5916564467530664"
"10.1.0.1","137.132.22.29","240.1787030062315962"
"10.1.0.1","141.44.25.151","267.7653319256810150"
"10.1.0.1","145.40.89.243","232.6626178902234908"
"10.1.0.1","200.129.206.243","311.5881098113796317"
"10.1.0.1","62.40.110.132","254.2823665495222127"
"10.1.0.1","62.40.110.140","250.1289931798088662"
"10.1.0.1","62.40.110.148","257.6586627453188823"
"10.10.0.1","128.112.49.68","76.4549057650773880"
"10.10.0.1","129.132.230.98","50.9265895553508521"
"10.10.0.1","134.75.253.186","88.6461466051724631"
"10.10.0.1","134.75.254.171","87.3269943301589756"
"10.10.0.1","134.75.254.214","211.1692546922146818"
"10.10.0.1","134.75.254.68","337.5095395773590192"
"10.10.0.1","137.132.22.29","448.4532799231566536"
"10.10.0.1","141.44.25.151","56.6361512242569743"
"10.10.0.1","145.40.89.243","449.7209953679187096"
