"src_scion_addr","dst_scion_addr","avg"
"71-20965,10.0.1.1:0","64-2:0:9,129.132.230.98:30041","12.3011081761323232"
"71-20965,10.0.1.1:0","71-225,127.0.0.1:30041","115.3315026873659552"
"71-20965,10.0.1.1:0","71-2:0:18,192.168.1.1:30041","175.6125628223866674"
"71-20965,10.0.1.1:0","71-2:0:3b,10.1.0.1:30041","255.6209508141657615"
"71-20965,10.0.1.1:0","71-2:0:3d,10.0.0.1:30041","173.8131431312615219"
"71-20965,10.0.1.1:0","71-2:0:3e,10.10.0.1:30041","12.3809509719797615"
"71-20965,10.0.1.1:0","71-2:0:3f,10.10.0.1:30041","98.3143525870914968"
"71-20965,10.0.1.1:0","71-2:0:48,127.0.0.1:30041","99.8136912501102249"
"71-20965,10.0.1.1:0","71-2:0:4a,141.44.25.151:30041","48.5617596090731847"
"71-20965,10.0.1.1:0","71-2:0:5c,127.0.0.1:30041","131.0926623459746304"
"71-20965,10.0.1.1:0","71-88,127.0.0.1:30041","120.6641967318644085"
"71-20965,10.0.2.1:0","64-2:0:9,129.132.230.98:30041","25.4037979686736062"
"71-20965,10.0.2.1:0","71-225,127.0.0.1:30041","109.3799144783650504"
"71-20965,10.0.2.1:0","71-2:0:18,192.168.1.1:30041","180.1920007541818152"
"71-20965,10.0.2.1:0","71-2:0:3b,10.1.0.1:30041","260.3443209925637253"
"71-20965,10.0.2.1:0","71-2:0:3d,10.0.0.1:30041","178.3997138210451967"
"71-20965,10.0.2.1:0","71-2:0:3e,10.10.0.1:30041","8.1534174268515521"
"71-20965,10.0.2.1:0","71-2:0:3f,10.10.0.1:30041","106.0180880762636424"
"71-20965,10.0.2.1:0","71-2:0:48,127.0.0.1:30041","100.3647437865715146"
"71-20965,10.0.2.1:0","71-2:0:4a,141.44.25.151:30041","32.1760619650553012"
"71-20965,10.0.2.1:0","71-2:0:5c,127.0.0.1:30041","144.3093076329718851"
"71-20965,10.0.2.1:0","71-88,127.0.0.1:30041","113.8750762540037025"
"71-20965,10.0.3.1:0","64-2:0:9,129.132.230.98:30041","17.2510793055923899"
"71-20965,10.0.3.1:0","71-225,127.0.0.1:30041","114.7673167925532279"
"71-20965,10.0.3.1:0","71-2:0:18,192.168.1.1:30041","183.3839229849811165"
"71-20965,10.0.3.1:0","71-2:0:3b,10.1.0.1:30041","258.7045656748943349"
"71-20965,10.0.3.1:0","71-2:0:3d,10.0.0.1:30041","181.5991960414222313"
"71-20965,10.0.3.1:0","71-2:0:3e,10.10.0.1:30041","15.8482831442729304"
"71-20965,10.0.3.1:0","71-2:0:3f,10.10.0.1:30041","104.4564593632816751"
"71-20965,10.0.3.1:0","71-2:0:48,127.0.0.1:30041","92.6724273900425957"
"71-20965,10.0.3.1:0","71-2:0:4a,141.44.25.151:30041","40.8537116600517482"
"71-20965,10.0.3.1:0","71-2:0:5c,127.0.0.1:30041","135.9259831420937668"
"71-20965,10.0.3.1:0","71-88,127.0.0.1:30041","120.9990866405173406"
"71-225,10.230.53.144:0","64-2:0:9,129.132.230.98:30041","124.8195038136824349"
"71-225,10.230.53.144:0","71-20965,10.0.1.1:30041","106.0248733189413273"
"71-225,10.230.53.144:0","71-20965,10.0.2.1:30041","111.9166144758817173"
"71-225,10.230.53.144:0","71-20965,10.0.3.1:30041","105.2165218700733561"
"71-225,10.230.53.144:0","71-2:0:18,192.168.1.1:30041","281.9936892999198864"
"71-225,10.230.53.144:0","71-2:0:3b,10.1.0.1:30041","170.7951515848376835"
"71-225,10.230.53.144:0","71-2:0:3d,10.0.0.1:30041","280.1885039310041004"
"71-225,10.230.53.144:0","71-2:0:3e,10.10.0.1:30041","103.2461164612197703"
