"src_scion_addr","dst_scion_addr","avg"
"71-20965,10.0.1.1:0","64-2:0:9,129.132.230.98:30041","12.4612865703558905"
"71-20965,10.0.1.1:0","71-225,127.0.0.1:30041","117.0470054498154911"
"71-20965,10.0.1.1:0","71-2:0:18,192.168.1.1:30041","175.4614767789395615"
"71-20965,10.0.1.1:0","71-2:0:3b,10.1.0.1:30041","255.2024200697440945"
"71-20965,10.0.1.1:0","71-2:0:3d,10.0.0.1:30041","173.6343256530166538"
"71-20965,10.0.1.1:0","71-2:0:3e,10.10.0.1:30041","12.4690402433500897"
"71-20965,10.0.1.1:0","71-2:0:3f,10.10.0.1:30041","97.3488853060077273"
"71-20965,10.0.1.1:0","71-2:0:48,127.0.0.1:30041","102.6941397608612321"
"71-20965,10.0.1.1:0","71-2:0:4a,141.44.25.151:30041","48.8979188870813934"
"71-20965,10.0.1.1:0","71-2:0:5c,127.0.0.1:30041","131.2012405479390580"
"71-20965,10.0.1.1:0","71-88,127.0.0.1:30041","118.9051242657793773"
"71-20965,10.0.2.1:0","64-2:0:9,129.132.230.98:30041","23.5473605396746477"
"71-20965,10.0.2.1:0","71-225,127.0.0.1:30041","109.9730935860067576"
"71-20965,10.0.2.1:0","71-2:0:18,192.168.1.1:30041","179.5814116865714729"
"71-20965,10.0.2.1:0","71-2:0:3b,10.1.0.1:30041","260.3137185374473609"
"71-20965,10.0.2.1:0","71-2:0:3d,10.0.0.1:30041","177.8106506545609771"
"71-20965,10.0.2.1:0","71-2:0:3e,10.10.0.1:30041","7.3612150867657508"
"71-20965,10.0.2.1:0","71-2:0:3f,10.10.0.1:30041","105.9694204971018994"
"71-20965,10.0.2.1:0","71-2:0:48,127.0.0.1:30041","104.8063443154386338"
"71-20965,10.0.2.1:0","71-2:0:4a,141.44.25.151:30041","32.4928664053628338"
"71-20965,10.0.2.1:0","71-2:0:5c,127.0.0.1:30041","144.5670644186576462"
"71-20965,10.0.2.1:0","71-88,127.0.0.1:30041","113.3184555531087132"
"71-20965,10.0.3.1:0","64-2:0:9,129.132.230.98:30041","16.2880255500448045"
"71-20965,10.0.3.1:0","71-225,127.0.0.1:30041","119.1976551598454164"
"71-20965,10.0.3.1:0","71-2:0:18,192.168.1.1:30041","183.1629831429489614"
"71-20965,10.0.3.1:0","71-2:0:3b,10.1.0.1:30041","257.8595282839101381"
"71-20965,10.0.3.1:0","71-2:0:3d,10.0.0.1:30041","181.3983408161707401"
"71-20965,10.0.3.1:0","71-2:0:3e,10.10.0.1:30041","15.7265211336074943"
"71-20965,10.0.3.1:0","71-2:0:3f,10.10.0.1:30041","103.5857027181063098"
"71-20965,10.0.3.1:0","71-2:0:48,127.0.0.1:30041","98.9053716488660727"
"71-20965,10.0.3.1:0","71-2:0:4a,141.44.25.151:30041","40.8727981378584384"
"71-20965,10.0.3.1:0","71-2:0:5c,127.0.0.1:30041","136.4686837138197789"
"71-20965,10.0.3.1:0","71-88,127.0.0.1:30041","121.8798978963816576"
"71-225,10.230.53.144:0","64-2:0:9,129.132.230.98:30041","129.4525036479112678"
"71-225,10.230.53.144:0","71-20965,10.0.1.1:30041","107.2672161040368796"
"71-225,10.230.53.144:0","71-20965,10.0.2.1:30041","109.0303823254576236"
"71-225,10.230.53.144:0","71-20965,10.0.3.1:30041","102.3721979962657820"
"71-225,10.230.53.144:0","71-2:0:18,192.168.1.1:30041","280.3733856406552641"
"71-225,10.230.53.144:0","71-2:0:3b,10.1.0.1:30041","170.8232889030504777"
"71-225,10.230.53.144:0","71-2:0:3d,10.0.0.1:30041","278.6166842308554316"
"71-225,10.230.53.144:0","71-2:0:3e,10.10.0.1:30041","105.0122607596210893"
"71-225,10.230.53.144:0","71-2:0:3f,10.10.0.1:30041","16.2437921902068938"
"71-225,10.230.53.144:0","71-2:0:48,127.0.0.1:30041","34.0348948104831879"
