src_scion_addr,dst_scion_addr,mapped_src_ip,mapped_dst_ip,avg_scion,avg_ip
"71-20965,10.0.1.1:0","64-2:0:9,129.132.230.98:30041",10.0.1.1,129.132.230.98,12.314719611911281,12.030996633096487
"71-20965,10.0.1.1:0","71-225,127.0.0.1:30041",10.0.1.1,ccc,118.20210635980835,
"71-20965,10.0.1.1:0","71-2:0:18,192.168.1.1:30041",10.0.1.1,137.132.22.29,176.85217975887224,174.2667490001829
"71-20965,10.0.1.1:0","71-2:0:3b,10.1.0.1:30041",10.0.1.1,134.75.254.214,255.9675195312559,254.49113304233506
"71-20965,10.0.1.1:0","71-2:0:3d,10.0.0.1:30041",10.0.1.1,134.75.254.68,175.10686391051294,338.476379807868
"71-20965,10.0.1.1:0","71-2:0:3e,10.10.0.1:30041",10.0.1.1,134.75.253.186,12.465321212107881,34.23378606947505
"71-20965,10.0.1.1:0","71-2:0:3f,10.10.0.1:30041",10.0.1.1,134.75.254.171,97.01302622949889,99.60151043799034
"71-20965,10.0.1.1:0","71-2:0:48,127.0.0.1:30041",10.0.1.1,145.40.89.243,98.5157069637785,101.63204747676794
"71-20965,10.0.1.1:0","71-2:0:4a,141.44.25.151:30041",10.0.1.1,141.44.25.151,48.805612644224766,36.689819215451614
"71-20965,10.0.1.1:0","71-2:0:5c,127.0.0.1:30041",10.0.1.1,200.129.206.243,130.99251776071955,141.78389659627237
"71-20965,10.0.1.1:0","71-88,127.0.0.1:30041",10.0.1.1,128.112.49.68,122.39887756541559,97.0434970294112
"71-225,10.230.53.144:0","64-2:0:9,129.132.230.98:30041",10.230.53.144,129.132.230.98,129.1779601318176,92.09888364228378
"71-225,10.230.53.144:0","71-20965,10.0.1.1:30041",10.230.53.144,62.40.110.132,108.45375915990364,80.05934911039785
"71-225,10.230.53.144:0","71-20965,10.0.2.1:30041",10.230.53.144,62.40.110.140,112.12492290315689,91.99577865489896
"71-225,10.230.53.144:0","71-20965,10.0.3.1:30041",10.230.53.144,62.40.110.148,106.08949612675518,88.25687587612687
"71-225,10.230.53.144:0","71-2:0:18,192.168.1.1:30041",10.230.53.144,137.132.22.29,283.03830055833987,237.02603213580934
"71-225,10.230.53.144:0","71-2:0:3b,10.1.0.1:30041",10.230.53.144,134.75.254.214,170.79642529568972,219.55090632568383
"71-225,10.230.53.144:0","71-2:0:3d,10.0.0.1:30041",10.230.53.144,134.75.254.68,281.25719853751315,300.7881381340008
"71-225,10.230.53.144:0","71-2:0:3e,10.10.0.1:30041",10.230.53.144,134.75.253.186,105.0097074233538,308.15776491367285
"71-225,10.230.53.144:0","71-2:0:3f,10.10.0.1:30041",10.230.53.144,134.75.254.171,16.233655774886635,219.44219666728875
"71-225,10.230.53.144:0","71-2:0:48,127.0.0.1:30041",10.230.53.144,145.40.89.243,31.714100141586922,3.070072044158898
"71-225,10.230.53.144:0","71-2:0:4a,141.44.25.151:30041",10.230.53.144,141.44.25.151,143.17220229740525,111.08210033354747
"71-225,10.230.53.144:0","71-2:0:5c,127.0.0.1:30041",10.230.53.144,200.129.206.243,183.1448605810097,157.3341750228154
