"hour","src_addr","dst_addr","avg"
"2025-01-20 00:00:00+00","10.0.0.1","128.112.49.68","330.2622222222222222"
"2025-01-20 00:00:00+00","10.0.0.1","129.132.230.98","429.0063888888888889"
"2025-01-20 00:00:00+00","10.0.0.1","134.75.253.186","410.0791666666666667"
"2025-01-20 00:00:00+00","10.0.0.1","134.75.254.171","322.0041666666666667"
"2025-01-20 00:00:00+00","10.0.0.1","134.75.254.214","168.0000000000000000"
"2025-01-20 00:00:00+00","10.0.0.1","134.75.254.68","1.00000000000000000000"
"2025-01-20 00:00:00+00","10.0.0.1","137.132.22.29","357.2491666666666667"
"2025-01-20 00:00:00+00","10.0.0.1","141.44.25.151","436.0002777777777778"
"2025-01-20 00:00:00+00","10.0.0.1","145.40.89.243","352.7102777777777778"
"2025-01-20 00:00:00+00","10.0.0.1","200.129.206.243","461.2222222222222222"
"2025-01-20 00:00:00+00","10.0.0.1","62.40.110.132","422.0225000000000000"
"2025-01-20 00:00:00+00","10.0.0.1","62.40.110.140","417.0083333333333333"
"2025-01-20 00:00:00+00","10.0.0.1","62.40.110.148","425.0252777777777778"
"2025-01-20 00:00:00+00","10.0.2.1","128.112.49.68","85.0000000000000000"
"2025-01-20 00:00:00+00","10.0.2.1","129.132.230.98","12.0000000000000000"
"2025-01-20 00:00:00+00","10.0.2.1","134.75.253.186","100.3333333333333333"
"2025-01-20 00:00:00+00","10.0.2.1","134.75.254.171","95.0000000000000000"
"2025-01-20 00:00:00+00","10.0.2.1","134.75.254.214","249.0000000000000000"
"2025-01-20 00:00:00+00","10.0.2.1","134.75.254.68","417.5000000000000000"
"2025-01-20 00:00:00+00","10.0.2.1","137.132.22.29","185.0000000000000000"
"2025-01-20 00:00:00+00","10.0.2.1","141.44.25.151","32.0000000000000000"
"2025-01-20 00:00:00+00","10.0.2.1","145.40.89.243","86.0000000000000000"
"2025-01-20 00:00:00+00","10.0.2.1","200.129.206.243","154.0000000000000000"
"2025-01-20 00:00:00+00","10.0.2.1","62.40.110.132","16.0000000000000000"
"2025-01-20 00:00:00+00","10.0.2.1","62.40.110.148","8.0000000000000000"
"2025-01-20 00:00:00+00","10.10.0.1","128.112.49.68","107.9986103390772651"
"2025-01-20 00:00:00+00","10.10.0.1","129.132.230.98","18.9849916620344636"
"2025-01-20 00:00:00+00","10.10.0.1","134.75.253.186","1.3333333333333333"
"2025-01-20 00:00:00+00","10.10.0.1","134.75.254.171","88.0233463035019455"
"2025-01-20 00:00:00+00","10.10.0.1","134.75.254.214","242.2656293414837455"
"2025-01-20 00:00:00+00","10.10.0.1","134.75.254.68","410.0539188438021123"
"2025-01-20 00:00:00+00","10.10.0.1","137.132.22.29","481.0008340283569641"
"2025-01-20 00:00:00+00","10.10.0.1","141.44.25.151","25.0366870483602001"
"2025-01-20 00:00:00+00","10.10.0.1","145.40.89.243","489.1840422574367528"
"2025-01-20 00:00:00+00","10.10.0.1","200.129.206.243","244.9691495275152863"
"2025-01-20 00:00:00+00","10.10.0.1","62.40.110.132","12.0002779321845470"
"2025-01-20 00:00:00+00","10.10.0.1","62.40.110.140","6.8082267926625903"
"2025-01-20 00:00:00+00","10.10.0.1","62.40.110.148","15.0016675931072818"
"2025-01-20 00:00:00+00","10.230.53.144","128.112.49.68","9.0000000000000000"
"2025-01-20 00:00:00+00","10.230.53.144","129.132.230.98","91.9705882352941176"
"2025-01-20 00:00:00+00","10.230.53.144","134.75.253.186","308.0000000000000000"
