"hour","avg_rtt"
"2025-01-20 00:00:00+00","263.3708600749569721"
"2025-01-20 01:00:00+00","218.4510404456712166"
"2025-01-20 02:00:00+00","200.8367755961682179"
"2025-01-20 03:00:00+00","240.3392848943985308"
"2025-01-20 04:00:00+00","248.5673681693172307"
"2025-01-20 05:00:00+00","230.8480647656197458"
"2025-01-20 06:00:00+00","196.5016531569965870"
"2025-01-20 07:00:00+00","195.8711198013000053"
"2025-01-20 08:00:00+00","174.0319219940779574"
"2025-01-20 09:00:00+00","199.7921883300692203"
"2025-01-20 10:00:00+00","217.6764506532353311"
"2025-01-20 11:00:00+00","186.1846563859157221"
"2025-01-20 12:00:00+00","206.0946515252366187"
"2025-01-20 13:00:00+00","215.4063538675513510"
"2025-01-20 14:00:00+00","214.3366539621755387"
"2025-01-20 15:00:00+00","198.9023142284753725"
"2025-01-20 16:00:00+00","214.7916193412299205"
"2025-01-20 17:00:00+00","281.0909501483934793"
"2025-01-20 18:00:00+00","249.6151233395112948"
"2025-01-20 19:00:00+00","198.1101230523216131"
"2025-01-20 20:00:00+00","163.9485964650007475"
"2025-01-20 21:00:00+00","153.4914092618152396"
"2025-01-20 23:00:00+00","96.5810810810810811"
"2025-01-21 00:00:00+00","379.9156718702173248"
"2025-01-21 08:00:00+00","193.5890759605007891"
"2025-01-21 09:00:00+00","200.5932866959038369"
"2025-01-21 10:00:00+00","191.3229190673253239"
"2025-01-21 11:00:00+00","183.6192917880481852"
"2025-01-21 12:00:00+00","217.2827347777130215"
"2025-01-21 13:00:00+00","185.4612068150445323"
"2025-01-21 14:00:00+00","170.8601697042727318"
"2025-01-21 15:00:00+00","192.5661570011941228"
"2025-01-21 16:00:00+00","187.8496034097643251"
"2025-01-21 17:00:00+00","198.7637926091463101"
"2025-01-21 18:00:00+00","206.7440005860744524"
"2025-01-21 19:00:00+00","199.8784468607400491"
"2025-01-21 20:00:00+00","215.1365688631673014"
"2025-01-21 21:00:00+00","204.0847572974108094"
"2025-01-21 22:00:00+00","170.7374011299435028"
"2025-01-21 23:00:00+00","183.9948122511530368"
"2025-01-22 00:00:00+00","207.5425541414545161"
"2025-01-22 01:00:00+00","209.5230445275162069"
"2025-01-22 02:00:00+00","208.5080146911221311"
"2025-01-22 03:00:00+00","201.0914835350238157"
"2025-01-22 04:00:00+00","195.6238180467378090"
"2025-01-22 05:00:00+00","187.1417737413671994"
"2025-01-22 06:00:00+00","169.4827527419446497"
"2025-01-22 07:00:00+00","216.4179913924933781"
"2025-01-22 08:00:00+00","217.6393974186624818"
"2025-01-22 09:00:00+00","208.5631251915628744"
"2025-01-22 10:00:00+00","216.0273945218499883"
"2025-01-22 11:00:00+00","200.4245535945727765"
"2025-01-22 12:00:00+00","203.9581083175375225"
"2025-01-22 13:00:00+00","213.0875875431049806"
"2025-01-22 14:00:00+00","203.0689002854516426"
"2025-01-22 15:00:00+00","211.9323259850646332"
"2025-01-22 16:00:00+00","213.3742195190712335"
"2025-01-22 17:00:00+00","203.3531175659196769"
"2025-01-22 18:00:00+00","219.2978662064602411"
"2025-01-22 19:00:00+00","197.7996046916855218"
"2025-01-22 20:00:00+00","198.9644628325615804"
"2025-01-22 21:00:00+00","249.9350480772622415"
"2025-01-22 22:00:00+00","170.0764847869552155"
"2025-01-22 23:00:00+00","203.8533368220156375"
"2025-01-23 00:00:00+00","191.7441510215790648"
"2025-01-23 01:00:00+00","211.6293693636978863"
"2025-01-23 02:00:00+00","230.6522870929003401"
"2025-01-23 03:00:00+00","211.0692009906465652"
"2025-01-23 04:00:00+00","211.0875946581371825"
"2025-01-23 05:00:00+00","206.7478803396749468"
"2025-01-23 06:00:00+00","207.7805741564980945"
"2025-01-23 07:00:00+00","213.0801414325775237"
"2025-01-23 08:00:00+00","194.1096474788041053"
"2025-01-23 09:00:00+00","173.5379815261887268"
"2025-01-23 10:00:00+00","207.8748476031015817"
"2025-01-23 11:00:00+00","217.8587844479848141"
"2025-01-23 12:00:00+00","218.4937648080871900"
"2025-01-23 13:00:00+00","188.3728670491296432"
"2025-01-23 14:00:00+00","172.9381419047872671"
"2025-01-23 15:00:00+00","205.5679817038307604"
"2025-01-23 16:00:00+00","193.0859160664854126"
"2025-01-23 17:00:00+00","202.4404538720255022"
