hour,avg_rtt,success_ratio,prcount,src_scion_addr,src_addr
2025-01-20 00:00:00+00:00,230.55647440352095,1.0,43170,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-20 00:00:00+00:00,97.87625689263704,1.0,43162,"71-2:0:3e,10.10.0.1:0",134.75.253.186
2025-01-20 00:00:00+00:00,214.3255765490414,1.0,43188,"71-2:0:5c,127.0.0.1:0",200.129.206.243
2025-01-20 01:00:00+00:00,154.4377113022639,1.0,46734,"71-225,10.230.53.144:0",10.230.53.144
2025-01-20 01:00:00+00:00,235.63071281015715,1.0,43083,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-20 01:00:00+00:00,101.82021143413547,1.0,43134,"71-2:0:3e,10.10.0.1:0",134.75.253.186
2025-01-20 01:00:00+00:00,221.81422897359067,1.0,43053,"71-2:0:5c,127.0.0.1:0",200.129.206.243
2025-01-20 02:00:00+00:00,154.53132478632477,1.0,46800,"71-225,10.230.53.144:0",10.230.53.144
2025-01-20 02:00:00+00:00,235.46407464284047,1.0,42978,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-20 02:00:00+00:00,101.80532368762752,1.0,43128,"71-2:0:3e,10.10.0.1:0",134.75.253.186
2025-01-20 02:00:00+00:00,232.37833333333333,1.0,43200,"71-2:0:48,127.0.0.1:0",145.40.89.243
2025-01-20 02:00:00+00:00,220.98249924665632,1.0,43141,"71-2:0:5c,127.0.0.1:0",200.129.206.243
2025-01-20 03:00:00+00:00,154.48438687796036,1.0,34202,"71-225,10.230.53.144:0",10.230.53.144
2025-01-20 03:00:00+00:00,235.48640448397256,1.0,43176,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-20 03:00:00+00:00,232.3846100327002,1.0,43119,"71-2:0:48,127.0.0.1:0",145.40.89.243
2025-01-20 03:00:00+00:00,221.1459207567292,1.0,43133,"71-2:0:5c,127.0.0.1:0",200.129.206.243
2025-01-20 04:00:00+00:00,235.31092592592591,1.0,43200,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-20 04:00:00+00:00,101.67879629629628,1.0,43200,"71-2:0:3e,10.10.0.1:0",134.75.253.186
2025-01-20 04:00:00+00:00,232.46478546937263,1.0,43164,"71-2:0:48,127.0.0.1:0",145.40.89.243
2025-01-20 04:00:00+00:00,221.3095138888889,1.0,43200,"71-2:0:5c,127.0.0.1:0",200.129.206.243
2025-01-20 05:00:00+00:00,235.35199333921048,1.0,20418,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-20 05:00:00+00:00,101.71902777777775,1.0,43200,"71-2:0:3e,10.10.0.1:0",134.75.253.186
2025-01-20 05:00:00+00:00,221.12046296296296,1.0,43200,"71-2:0:5c,127.0.0.1:0",200.129.206.243
2025-01-20 06:00:00+00:00,101.72189171045626,1.0,43199,"71-2:0:3e,10.10.0.1:0",134.75.253.186
2025-01-20 06:00:00+00:00,221.06408890946977,1.0,43190,"71-2:0:5c,127.0.0.1:0",200.129.206.243
2025-01-20 07:00:00+00:00,101.70695444755796,1.0,43181,"71-2:0:3e,10.10.0.1:0",134.75.253.186
2025-01-20 07:00:00+00:00,221.12342592592591,1.0,43200,"71-2:0:5c,127.0.0.1:0",200.129.206.243
2025-01-20 08:00:00+00:00,101.71808522950856,1.0,43201,"71-2:0:3e,10.10.0.1:0",134.75.253.186
2025-01-20 08:00:00+00:00,232.38595269595896,1.0,43083,"71-2:0:48,127.0.0.1:0",145.40.89.243
2025-01-20 08:00:00+00:00,120.75826793721971,1.0,42816,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-20 08:00:00+00:00,220.98678210143757,1.0,43199,"71-2:0:5c,127.0.0.1:0",200.129.206.243
2025-01-20 09:00:00+00:00,154.54292480757843,1.0,5067,"71-225,10.230.53.144:0",10.230.53.144
2025-01-20 09:00:00+00:00,236.0644668499847,1.0,3273,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-20 09:00:00+00:00,101.79407391673746,1.0,9416,"71-2:0:3e,10.10.0.1:0",134.75.253.186
2025-01-20 09:00:00+00:00,154.82605863192182,1.0,3070,"71-2:0:3f,10.10.0.1:0",134.75.254.171
2025-01-20 09:00:00+00:00,232.38161439810324,1.0,9279,"71-2:0:48,127.0.0.1:0",145.40.89.243
2025-01-20 09:00:00+00:00,121.00298953662183,1.0,9366,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-20 10:00:00+00:00,2.0,1.0,2,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-20 11:00:00+00:00,156.7784136748689,1.0,39664,"71-225,10.230.53.144:0",10.230.53.144
2025-01-20 11:00:00+00:00,292.95038833858627,1.0,71072,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-20 11:00:00+00:00,97.64283283226499,1.0,35258,"71-2:0:3e,10.10.0.1:0",134.75.253.186
2025-01-20 11:00:00+00:00,150.27062841131317,1.0,34261,"71-2:0:3f,10.10.0.1:0",134.75.254.171
2025-01-20 11:00:00+00:00,183.25693854626155,1.0,36499,"71-2:0:48,127.0.0.1:0",145.40.89.243
2025-01-20 11:00:00+00:00,121.46105625655788,1.0,37169,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-20 12:00:00+00:00,155.22627471160857,1.0,46638,"71-225,10.230.53.144:0",10.230.53.144
2025-01-20 12:00:00+00:00,292.12575030707546,1.0,86298,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-20 12:00:00+00:00,227.10189441426385,1.0,43074,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-20 12:00:00+00:00,149.49951312250764,1.0,43132,"71-2:0:3f,10.10.0.1:0",134.75.254.171
2025-01-20 12:00:00+00:00,120.36784457206372,1.0,43184,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-20 13:00:00+00:00,154.16996089660037,1.0,46799,"71-225,10.230.53.144:0",10.230.53.144
2025-01-20 13:00:00+00:00,291.4311071974788,1.0,86308,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-20 13:00:00+00:00,222.92305555555555,1.0,43200,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-20 13:00:00+00:00,95.7611750271997,1.0,43199,"71-2:0:3e,10.10.0.1:0",134.75.253.186
2025-01-20 13:00:00+00:00,148.45920308006308,1.0,43116,"71-2:0:3f,10.10.0.1:0",134.75.254.171
2025-01-20 13:00:00+00:00,119.58080292985952,1.0,43142,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-20 13:00:00+00:00,211.60206137811235,1.0,43175,"71-2:0:5c,127.0.0.1:0",200.129.206.243
2025-01-20 14:00:00+00:00,154.18461538461537,1.0,46800,"71-225,10.230.53.144:0",10.230.53.144
2025-01-20 14:00:00+00:00,291.32024309341006,1.0,86222,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-20 14:00:00+00:00,222.61648280337445,1.0,43148,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-20 14:00:00+00:00,95.77818948148493,1.0,43181,"71-2:0:3e,10.10.0.1:0",134.75.253.186
2025-01-20 14:00:00+00:00,148.50286164469264,1.0,43157,"71-2:0:3f,10.10.0.1:0",134.75.254.171
