"hour","avg_rtt","prcount","src_addr"
"2025-01-20 00:00:00+00","380.0433751415568043","46801","10.0.0.1"
"2025-01-20 00:00:00+00","104.0606060606060606","33","10.0.2.1"
"2025-01-20 00:00:00+00","149.7614314115308151","503","10.230.53.144"
"2025-01-20 00:00:00+00","178.4189170410857381","43178","134.75.253.186"
"2025-01-20 00:00:00+00","212.2242261183218520","33823","200.129.206.243"
"2025-01-20 01:00:00+00","380.7544587901863674","34931","10.0.0.1"
"2025-01-20 01:00:00+00","100.7777777777777778","144","10.0.1.1"
"2025-01-20 01:00:00+00","102.4027777777777778","144","10.0.3.1"
"2025-01-20 01:00:00+00","151.1900426478768774","53930","10.230.53.144"
"2025-01-20 01:00:00+00","178.2386739819894900","43197","134.75.253.186"
"2025-01-20 01:00:00+00","200.1373476250525431","9516","145.40.89.243"
"2025-01-20 01:00:00+00","212.6809750297265161","16820","200.129.206.243"
"2025-01-20 02:00:00+00","379.9139298590626024","15255","10.0.0.1"
"2025-01-20 02:00:00+00","104.0975609756097561","82","10.0.2.1"
"2025-01-20 02:00:00+00","151.1459791828721710","53994","10.230.53.144"
"2025-01-20 02:00:00+00","178.2445641463574854","15223","134.75.253.186"
"2025-01-20 02:00:00+00","200.1754175896545531","33406","145.40.89.243"
"2025-01-20 02:00:00+00","211.9599384194320903","29230","200.129.206.243"
"2025-01-20 03:00:00+00","380.0051085841313269","46784","10.0.0.1"
"2025-01-20 03:00:00+00","95.8571428571428571","105","10.0.2.1"
"2025-01-20 03:00:00+00","151.1448151807656254","39471","10.230.53.144"
"2025-01-20 03:00:00+00","178.2441742654508612","3948","134.75.253.186"
"2025-01-20 03:00:00+00","200.3911121729781388","33484","145.40.89.243"
"2025-01-20 03:00:00+00","212.2790199809705043","50448","200.129.206.243"
"2025-01-20 04:00:00+00","380.2746581196581197","46800","10.0.0.1"
"2025-01-20 04:00:00+00","178.2046059483856035","43205","134.75.253.186"
"2025-01-20 04:00:00+00","200.3180171093428966","26769","145.40.89.243"
"2025-01-20 04:00:00+00","212.2743136711167452","50486","200.129.206.243"
"2025-01-20 05:00:00+00","380.3534412589309939","22114","10.0.0.1"
"2025-01-20 05:00:00+00","178.2179377386876519","43205","134.75.253.186"
"2025-01-20 05:00:00+00","200.5782140595313490","3158","145.40.89.243"
"2025-01-20 05:00:00+00","212.2906587419514611","50475","200.129.206.243"
"2025-01-20 06:00:00+00","97.0270270270270270","74","10.0.2.1"
"2025-01-20 06:00:00+00","178.2410999490764316","43202","134.75.253.186"
"2025-01-20 06:00:00+00","212.2740472228824974","50484","200.129.206.243"
"2025-01-20 07:00:00+00","178.2410319353419328","43181","134.75.253.186"
"2025-01-20 07:00:00+00","122.3716356107660455","966","141.44.25.151"
"2025-01-20 07:00:00+00","212.3624673060156931","50468","200.129.206.243"
"2025-01-20 08:00:00+00","104.2935323383084577","402","10.0.2.1"
"2025-01-20 08:00:00+00","178.2493171612425351","43202","134.75.253.186"
"2025-01-20 08:00:00+00","122.7196278475452712","50087","141.44.25.151"
"2025-01-20 08:00:00+00","200.2821565513768930","25819","145.40.89.243"
"2025-01-20 08:00:00+00","212.4035719016292110","45298","200.129.206.243"
