"hour","avg_rtt","success_ratio","prcount","src_scion_addr"
"2025-01-19 23:00:00+00","184.5000000000000000","1.00000000000000000000","2","71-20965,10.0.2.1:0"
"2025-01-19 23:00:00+00","171.0000000000000000","1.00000000000000000000","1","71-225,10.230.53.144:0"
"2025-01-19 23:00:00+00","208.6666666666666667","1.00000000000000000000","3","71-2:0:3e,10.10.0.1:0"
"2025-01-20 00:00:00+00","116.6820316190158651","1.00000000000000000000","35991","71-20965,10.0.1.1:0"
"2025-01-20 00:00:00+00","113.1681959737515293","1.00000000000000000000","35964","71-20965,10.0.2.1:0"
"2025-01-20 00:00:00+00","160.3312644465371115","1.00000000000000000000","46724","71-225,10.230.53.144:0"
"2025-01-20 00:00:00+00","230.5564744035209636","1.00000000000000000000","43170","71-2:0:3d,10.0.0.1:0"
"2025-01-20 00:00:00+00","97.8762568926370418","1.00000000000000000000","43162","71-2:0:3e,10.10.0.1:0"
"2025-01-20 00:00:00+00","190.0886750898342413","1.00000000000000000000","43135","71-2:0:48,127.0.0.1:0"
"2025-01-20 00:00:00+00","214.3255765490414004","1.00000000000000000000","43188","71-2:0:5c,127.0.0.1:0"
"2025-01-20 01:00:00+00","123.0771551483323091","1.00000000000000000000","35798","71-20965,10.0.1.1:0"
"2025-01-20 01:00:00+00","118.2558837422545778","1.00000000000000000000","35989","71-20965,10.0.2.1:0"
"2025-01-20 01:00:00+00","122.2216415292879691","1.00000000000000000000","28510","71-20965,10.0.3.1:0"
"2025-01-20 01:00:00+00","154.4377113022638764","1.00000000000000000000","46734","71-225,10.230.53.144:0"
"2025-01-20 01:00:00+00","235.6307128101571385","1.00000000000000000000","43083","71-2:0:3d,10.0.0.1:0"
"2025-01-20 01:00:00+00","101.8202114341354848","1.00000000000000000000","43134","71-2:0:3e,10.10.0.1:0"
"2025-01-20 01:00:00+00","232.6265214755398032","1.00000000000000000000","42886","71-2:0:48,127.0.0.1:0"
"2025-01-20 01:00:00+00","221.8142289735906905","1.00000000000000000000","43053","71-2:0:5c,127.0.0.1:0"
"2025-01-20 02:00:00+00","122.2877389951089373","1.00000000000000000000","35984","71-20965,10.0.1.1:0"
"2025-01-20 02:00:00+00","118.1735408560311284","1.00000000000000000000","35980","71-20965,10.0.2.1:0"
"2025-01-20 02:00:00+00","122.3939444444444444","1.00000000000000000000","36000","71-20965,10.0.3.1:0"
"2025-01-20 02:00:00+00","154.5313247863247863","1.00000000000000000000","46800","71-225,10.230.53.144:0"
"2025-01-20 02:00:00+00","235.4640746428405231","1.00000000000000000000","42978","71-2:0:3d,10.0.0.1:0"
"2025-01-20 02:00:00+00","101.8053236876275274","1.00000000000000000000","43128","71-2:0:3e,10.10.0.1:0"
"2025-01-20 02:00:00+00","232.3783333333333333","1.00000000000000000000","43200","71-2:0:48,127.0.0.1:0"
"2025-01-20 02:00:00+00","220.9824992466563130","1.00000000000000000000","43141","71-2:0:5c,127.0.0.1:0"
"2025-01-20 03:00:00+00","122.3765418379819980","1.00000000000000000000","35996","71-20965,10.0.1.1:0"
"2025-01-20 03:00:00+00","118.2507436959604104","1.00000000000000000000","35969","71-20965,10.0.2.1:0"
"2025-01-20 03:00:00+00","122.3481860103339074","1.00000000000000000000","35998","71-20965,10.0.3.1:0"
"2025-01-20 03:00:00+00","154.4843868779603532","1.00000000000000000000","34202","71-225,10.230.53.144:0"
"2025-01-20 03:00:00+00","235.4864044839725774","1.00000000000000000000","43176","71-2:0:3d,10.0.0.1:0"
"2025-01-20 03:00:00+00","101.7978703660743284","1.00000000000000000000","43106","71-2:0:3e,10.10.0.1:0"
"2025-01-20 03:00:00+00","232.3846100327002018","1.00000000000000000000","43119","71-2:0:48,127.0.0.1:0"
"2025-01-20 03:00:00+00","221.1459207567291865","1.00000000000000000000","43133","71-2:0:5c,127.0.0.1:0"
"2025-01-20 04:00:00+00","122.5006803854591908","1.00000000000000000000","36009","71-20965,10.0.1.1:0"
"2025-01-20 04:00:00+00","118.2275277777777778","1.00000000000000000000","36000","71-20965,10.0.2.1:0"
"2025-01-20 04:00:00+00","122.2948906731864529","1.00000000000000000000","35993","71-20965,10.0.3.1:0"
"2025-01-20 04:00:00+00","235.3109259259259259","1.00000000000000000000","43200","71-2:0:3d,10.0.0.1:0"
"2025-01-20 04:00:00+00","101.6787962962962963","1.00000000000000000000","43200","71-2:0:3e,10.10.0.1:0"
