hour,avg_rtt,prcount,src_addr
2025-01-20 00:00:00+00:00,380.0433751415568,46801,10.0.0.1
2025-01-20 00:00:00+00:00,178.4189170410857,43178,10.10.0.1
2025-01-20 00:00:00+00:00,212.22422611832184,33823,127.0.0.1
2025-01-20 01:00:00+00:00,380.7544587901864,34931,10.0.0.1
2025-01-20 01:00:00+00:00,178.23867398198948,43197,10.10.0.1
2025-01-20 01:00:00+00:00,151.19004264787688,53930,10.230.53.144
2025-01-20 01:00:00+00:00,208.148579890644,26336,127.0.0.1
2025-01-20 02:00:00+00:00,379.91392985906253,15255,10.0.0.1
2025-01-20 02:00:00+00:00,178.24456414635748,15223,10.10.0.1
2025-01-20 02:00:00+00:00,151.14597918287217,53994,10.230.53.144
2025-01-20 02:00:00+00:00,205.67483555782616,62636,127.0.0.1
2025-01-20 03:00:00+00:00,380.0051085841313,46784,10.0.0.1
2025-01-20 03:00:00+00:00,151.14481518076562,39471,10.230.53.144
2025-01-20 03:00:00+00:00,207.53643425630273,83932,127.0.0.1
2025-01-20 04:00:00+00:00,380.27465811965806,46800,10.0.0.1
2025-01-20 04:00:00+00:00,178.2046059483856,43205,10.10.0.1
2025-01-20 04:00:00+00:00,208.1314348585852,77255,127.0.0.1
2025-01-20 05:00:00+00:00,380.35344125893096,22114,10.0.0.1
2025-01-20 05:00:00+00:00,178.21793773868765,43205,10.10.0.1
2025-01-20 05:00:00+00:00,211.60101057184943,53633,127.0.0.1
2025-01-20 06:00:00+00:00,178.24109994907644,43202,10.10.0.1
2025-01-20 06:00:00+00:00,212.27404722288247,50484,127.0.0.1
2025-01-20 07:00:00+00:00,178.2410319353419,43181,10.10.0.1
2025-01-20 07:00:00+00:00,212.36246730601567,50468,127.0.0.1
2025-01-20 08:00:00+00:00,178.24931716124252,43202,10.10.0.1
2025-01-20 08:00:00+00:00,208.0028966351224,71117,127.0.0.1
2025-01-20 08:00:00+00:00,122.71962784754528,50087,141.44.25.151
2025-01-20 09:00:00+00:00,380.1869758386581,40064,10.0.0.1
2025-01-20 09:00:00+00:00,174.17955904802423,79918,10.10.0.1
2025-01-20 09:00:00+00:00,151.0907802896135,47995,10.230.53.144
2025-01-20 09:00:00+00:00,200.81453446459267,36066,127.0.0.1
2025-01-20 09:00:00+00:00,122.99917195694177,39853,141.44.25.151
2025-01-20 10:00:00+00:00,380.3338148108225,46385,10.0.0.1
2025-01-20 10:00:00+00:00,234.16475535168195,26160,10.1.0.1
2025-01-20 10:00:00+00:00,173.8982598298139,86141,10.10.0.1
2025-01-20 10:00:00+00:00,151.0769488434412,53737,10.230.53.144
2025-01-20 10:00:00+00:00,209.32595693779905,30096,127.0.0.1
2025-01-20 11:00:00+00:00,233.84867335878224,42438,10.1.0.1
2025-01-20 11:00:00+00:00,173.26717296891698,43979,10.10.0.1
2025-01-20 11:00:00+00:00,151.19625923010608,53358,10.230.53.144
2025-01-20 11:00:00+00:00,203.50027112516943,22130,127.0.0.1
2025-01-20 11:00:00+00:00,122.94306328233657,34512,141.44.25.151
2025-01-20 12:00:00+00:00,379.8846854378788,33491,10.0.0.1
2025-01-20 12:00:00+00:00,233.88972394144807,81432,10.1.0.1
2025-01-20 12:00:00+00:00,172.73998672272626,27114,10.10.0.1
2025-01-20 12:00:00+00:00,151.08681032881293,53830,10.230.53.144
2025-01-20 12:00:00+00:00,122.59749411135964,50521,141.44.25.151
2025-01-20 13:00:00+00:00,380.3968932287772,46801,10.0.0.1
2025-01-20 13:00:00+00:00,233.97078974169057,86408,10.1.0.1
2025-01-20 13:00:00+00:00,173.79440574153733,85552,10.10.0.1
2025-01-20 13:00:00+00:00,151.1157265083892,53998,10.230.53.144
2025-01-20 13:00:00+00:00,212.4133409350057,26310,127.0.0.1
2025-01-20 13:00:00+00:00,122.15182254398518,23758,141.44.25.151
2025-01-20 14:00:00+00:00,380.4159770718121,24773,10.0.0.1
2025-01-20 14:00:00+00:00,233.9454060943112,86310,10.1.0.1
2025-01-20 14:00:00+00:00,171.90415528192753,56362,10.10.0.1
2025-01-20 14:00:00+00:00,151.09226096779568,53999,10.230.53.144
2025-01-20 15:00:00+00:00,237.6651379334306,86346,10.1.0.1
2025-01-20 15:00:00+00:00,172.8686436760355,43264,10.10.0.1
2025-01-20 15:00:00+00:00,154.0828576723499,53960,10.230.53.144
2025-01-20 15:00:00+00:00,205.06320379939663,33479,127.0.0.1
2025-01-20 16:00:00+00:00,380.0395804542717,28221,10.0.0.1
2025-01-20 16:00:00+00:00,238.43513677527773,85688,10.1.0.1
2025-01-20 16:00:00+00:00,179.02494090550942,65996,10.10.0.1
2025-01-20 16:00:00+00:00,154.79496362618914,53610,10.230.53.144
2025-01-20 16:00:00+00:00,217.75052204888837,48846,127.0.0.1
2025-01-20 16:00:00+00:00,122.14075222954632,12895,141.44.25.151
2025-01-20 17:00:00+00:00,380.3068206115031,46770,10.0.0.1
2025-01-20 17:00:00+00:00,182.82061430919148,43203,10.10.0.1
2025-01-20 18:00:00+00:00,379.9356611358194,46768,10.0.0.1
2025-01-20 18:00:00+00:00,182.8276851851852,43200,10.10.0.1
2025-01-20 18:00:00+00:00,154.84491905397542,29217,10.230.53.144
2025-01-20 19:00:00+00:00,379.90229325920774,14390,10.0.0.1
2025-01-20 19:00:00+00:00,181.79323930794268,35026,10.10.0.1
2025-01-20 19:00:00+00:00,154.20382697050044,53933,10.230.53.144
