"minute","avg_rtt","prcount"
"2025-01-20 00:00:00+00","258.0683760683760684","2340"
"2025-01-20 00:01:00+00","257.9662537377189235","2341"
"2025-01-20 00:02:00+00","257.8561058923996584","2342"
"2025-01-20 00:03:00+00","257.8586678052946200","2342"
"2025-01-20 00:04:00+00","257.9641178983340453","2341"
"2025-01-20 00:05:00+00","257.9504485262708244","2341"
"2025-01-20 00:06:00+00","257.9700982486117044","2341"
"2025-01-20 00:07:00+00","257.7477592829705506","2343"
"2025-01-20 00:08:00+00","257.9692439128577531","2341"
"2025-01-20 00:09:00+00","257.7626973965002134","2343"
"2025-01-20 00:10:00+00","257.7524541186513017","2343"
"2025-01-20 00:11:00+00","257.4989339019189765","2345"
"2025-01-20 00:12:00+00","257.8923536950021358","2341"
"2025-01-20 00:13:00+00","257.7715627668659266","2342"
"2025-01-20 00:14:00+00","257.7971818958155423","2342"
"2025-01-20 00:15:00+00","257.8966253737718924","2341"
"2025-01-20 00:16:00+00","257.7916310845431255","2342"
"2025-01-20 00:17:00+00","258.0004273504273504","2340"
"2025-01-20 00:18:00+00","257.7754056362083689","2342"
"2025-01-20 00:19:00+00","257.2543672773753728","2347"
"2025-01-20 00:20:00+00","257.6258532423208191","2344"
"2025-01-20 00:21:00+00","257.6739223218096458","2343"
"2025-01-20 00:22:00+00","257.9995726495726496","2340"
"2025-01-20 00:23:00+00","257.8859461768475011","2341"
"2025-01-20 00:24:00+00","257.8598889363519863","2341"
"2025-01-20 00:25:00+00","257.7596071733561059","2342"
"2025-01-20 00:26:00+00","257.7711357813834330","2342"
"2025-01-20 00:27:00+00","257.8795386586928663","2341"
"2025-01-20 00:28:00+00","257.8821016659547202","2341"
"2025-01-20 00:29:00+00","257.7852263023057216","2342"
"2025-01-20 00:30:00+00","257.6824583866837388","2343"
"2025-01-20 00:31:00+00","257.8889363519863306","2341"
"2025-01-20 00:32:00+00","257.5922288642186166","2342"
"2025-01-20 00:33:00+00","257.6717883055911225","2343"
"2025-01-20 00:34:00+00","257.7219137120888509","2341"
"2025-01-20 00:35:00+00","257.7048269970098249","2341"
"2025-01-20 00:36:00+00","257.8034188034188034","2340"
"2025-01-20 00:37:00+00","257.7290598290598291","2340"
"2025-01-20 00:38:00+00","257.5785653287788215","2342"
"2025-01-20 00:39:00+00","257.6860316104228962","2341"
"2025-01-20 00:40:00+00","277.3549969343960760","1631"
"2025-01-20 00:41:00+00","283.0880000000000000","1500"
"2025-01-20 00:42:00+00","283.0813333333333333","1500"
"2025-01-20 00:43:00+00","283.0993333333333333","1500"
"2025-01-20 00:44:00+00","283.0733333333333333","1500"
"2025-01-20 00:45:00+00","283.0933333333333333","1500"
"2025-01-20 00:46:00+00","283.0980000000000000","1500"
"2025-01-20 00:47:00+00","283.0993333333333333","1500"
"2025-01-20 00:48:00+00","283.0813333333333333","1500"
"2025-01-20 00:49:00+00","283.1100000000000000","1500"
"2025-01-20 00:50:00+00","283.0953333333333333","1500"
"2025-01-20 00:51:00+00","283.0953333333333333","1500"
"2025-01-20 00:52:00+00","283.0933333333333333","1500"
"2025-01-20 00:53:00+00","283.0906666666666667","1500"
"2025-01-20 00:54:00+00","283.0966666666666667","1500"
"2025-01-20 00:55:00+00","283.0973333333333333","1500"
"2025-01-20 00:56:00+00","283.0893333333333333","1500"
"2025-01-20 00:57:00+00","283.0920000000000000","1500"
"2025-01-20 00:58:00+00","283.0953333333333333","1500"
"2025-01-20 00:59:00+00","247.2490176817288802","2036"
"2025-01-20 01:00:00+00","233.6450000000000000","2400"
"2025-01-20 01:01:00+00","233.7291666666666667","2400"
"2025-01-20 01:02:00+00","233.6852855356398499","2399"
"2025-01-20 01:03:00+00","233.6812500000000000","2400"
"2025-01-20 01:04:00+00","233.6866666666666667","2400"
"2025-01-20 01:05:00+00","233.6875000000000000","2400"
"2025-01-20 01:06:00+00","233.6779166666666667","2400"
"2025-01-20 01:07:00+00","233.7087500000000000","2400"
"2025-01-20 01:08:00+00","233.2220848784507623","2427"
"2025-01-20 01:09:00+00","225.0382597963591484","3241"
"2025-01-20 01:10:00+00","224.8683317915510330","3243"
"2025-01-20 01:11:00+00","224.5337461300309598","3230"
"2025-01-20 01:12:00+00","219.8987902035998820","3389"
"2025-01-20 01:13:00+00","225.3047501542257866","3242"
"2025-01-20 01:14:00+00","225.4391975308641975","3240"
"2025-01-20 01:15:00+00","224.4998185117967332","2755"
"2025-01-20 01:16:00+00","234.1283333333333333","2400"
"2025-01-20 01:17:00+00","234.1104166666666667","2400"
"2025-01-20 01:18:00+00","234.1083333333333333","2400"
"2025-01-20 01:19:00+00","234.1025000000000000","2400"
"2025-01-20 01:20:00+00","231.2295845272206304","2792"
"2025-01-20 01:21:00+00","228.5642923219241443","3243"
"2025-01-20 01:22:00+00","228.4311248073959938","3245"
"2025-01-20 01:23:00+00","228.4932182490752158","3244"
