hour,avg_rtt,success_ratio,prcount,src_scion_addr,src_addr
2025-01-20 00:00:00+00:00,234.9062132392257,1.0,46755,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-20 00:00:00+00:00,98.4295857481982,1.0,46759,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-20 00:00:00+00:00,191.91498512828196,1.0,46733,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-20 00:00:00+00:00,216.0387928270673,1.0,46787,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-20 01:00:00+00:00,154.4377113022639,1.0,46734,"71-225,10.230.53.144:0",10.230.53.144
2025-01-20 01:00:00+00:00,240.60642630541028,1.0,46652,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-20 01:00:00+00:00,102.07498555500867,1.0,46729,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-20 01:00:00+00:00,232.6141578063794,1.0,46462,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-20 01:00:00+00:00,225.20150517806985,1.0,46639,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-20 02:00:00+00:00,154.53132478632477,1.0,46800,"71-225,10.230.53.144:0",10.230.53.144
2025-01-20 02:00:00+00:00,240.17390837432075,1.0,46559,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-20 02:00:00+00:00,102.06247458425186,1.0,46723,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-20 02:00:00+00:00,232.4138675213675,1.0,46800,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-20 02:00:00+00:00,223.5299554946936,1.0,46736,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-20 03:00:00+00:00,154.48438687796036,1.0,34202,"71-225,10.230.53.144:0",10.230.53.144
2025-01-20 03:00:00+00:00,240.23427545217427,1.0,46774,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-20 03:00:00+00:00,232.4330150710738,1.0,46712,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-20 03:00:00+00:00,223.69784711522,1.0,46728,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-20 04:00:00+00:00,239.99452991452992,1.0,46800,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-20 04:00:00+00:00,101.93978632478633,1.0,46800,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-20 04:00:00+00:00,232.50717478240412,1.0,46761,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-20 04:00:00+00:00,223.8374572649573,1.0,46800,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-20 05:00:00+00:00,240.09421764094216,1.0,22119,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-20 05:00:00+00:00,101.97752136752136,1.0,46800,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-20 05:00:00+00:00,232.45107801448748,1.0,46799,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-20 05:00:00+00:00,223.65938034188036,1.0,46800,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-20 06:00:00+00:00,101.98185858672193,1.0,46799,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-20 06:00:00+00:00,232.643431062484,1.0,46796,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-20 06:00:00+00:00,223.60804890038256,1.0,46789,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-20 07:00:00+00:00,101.96876803693964,1.0,46779,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-20 07:00:00+00:00,232.75429487179488,1.0,46800,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-20 07:00:00+00:00,223.7282264957265,1.0,46800,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-20 08:00:00+00:00,101.98023588735524,1.0,46802,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-20 08:00:00+00:00,232.43862618644607,1.0,46673,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-20 08:00:00+00:00,120.01862711279752,1.0,46384,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-20 08:00:00+00:00,223.5326937048592,1.0,46798,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-20 09:00:00+00:00,154.54292480757843,1.0,5067,"71-225,10.230.53.144:0",10.230.53.144
2025-01-20 09:00:00+00:00,240.6866892272984,1.0,3546,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-20 09:00:00+00:00,102.04813725490196,1.0,10200,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-20 09:00:00+00:00,144.2468430547204,1.0,3326,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-20 09:00:00+00:00,232.42528849980104,1.0,10052,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-20 09:00:00+00:00,120.23977530304523,1.0,10147,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-20 09:00:00+00:00,223.5453748904744,1.0,7989,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-20 10:00:00+00:00,2.0,1.0,2,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-20 11:00:00+00:00,156.7784136748689,1.0,39664,"71-225,10.230.53.144:0",10.230.53.144
2025-01-20 11:00:00+00:00,283.53920245080224,1.0,77036,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-20 11:00:00+00:00,98.2158407033335,1.0,38218,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-20 11:00:00+00:00,139.9782696502141,1.0,37137,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-20 11:00:00+00:00,185.4535160002022,1.0,39562,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-20 11:00:00+00:00,120.65004467831612,1.0,40288,"71-2:0:4a,141.44.25.151:0",141.44.25.151
