"src_scion_addr","dst_scion_addr","avg_paths","min_paths","max_paths","avg_diff_to_max","median_diff_to_max","avg_min_hops","avg_max_hops"
"71-20965,10.0.1.1:0","71-225,127.0.0.1:30041","37.7153701084394154","5","45","7.2846298915605846","0","4.0859971711456860","7.5698255539839698"
"71-20965,10.0.1.1:0","71-2:0:3b,10.1.0.1:30041","25.8129468681765638","9","33","7.1870531318234362","0","6.0000000000000000","6.0000000000000000"
"71-20965,10.0.1.1:0","71-2:0:3d,10.0.0.1:30041","2.9999556796525285","2","3","0.000044320347471524176750","0","2.0000000000000000","2.0000000000000000"
"71-20965,10.0.1.1:0","71-2:0:3e,10.10.0.1:30041","19.2671739409224982","3","27","7.7328260590775018","0","2.0003419826443808","4.6522463984952764"
"71-20965,10.0.1.1:0","71-2:0:3f,10.10.0.1:30041","13.4174611997092650","5","17","3.5825388002907350","0","4.0000000000000000","4.0000000000000000"
"71-20965,10.0.1.1:0","71-2:0:48,127.0.0.1:30041","13.3948819259395387","2","15","1.6051180740604613","0","4.0000000000000000","7.1724708260589911"
"71-20965,10.0.1.1:0","71-2:0:4a,141.44.25.151:30041","2.0572332962614424","2","3","0.94276670373855761827","1","2.0000000000000000","2.0000000000000000"
"71-20965,10.0.1.1:0","71-2:0:5c,127.0.0.1:30041","14.1048369821344415","3","17","2.8951630178655585","0","2.0005998029218971","6.6762349513731203"
"71-20965,10.0.2.1:0","71-225,127.0.0.1:30041","36.8865574723783679","5","45","8.1134425276216321","0","4.1092265943012212","7.5463268075208374"
"71-20965,10.0.2.1:0","71-2:0:3b,10.1.0.1:30041","25.5975469866760787","9","33","7.4024530133239213","0","6.0000000000000000","6.0000000000000000"
"71-20965,10.0.2.1:0","71-2:0:3d,10.0.0.1:30041","2.9997265393555444","1","3","0.00027346064445558543","0","2.0000000000000000","2.0000000000000000"
"71-20965,10.0.2.1:0","71-2:0:3e,10.10.0.1:30041","19.0151428445657437","3","27","7.9848571554342563","0","2.0000000000000000","4.5947088083813884"
"71-20965,10.0.2.1:0","71-2:0:3f,10.10.0.1:30041","13.3151557762446720","5","17","3.6848442237553280","0","4.0000000000000000","4.0000000000000000"
"71-20965,10.0.2.1:0","71-2:0:48,127.0.0.1:30041","13.3399438908774306","2","15","1.6600561091225694","0","4.0001934797329980","7.2135048853632582"
"71-20965,10.0.2.1:0","71-2:0:4a,141.44.25.151:30041","2.0792179261862917","2","3","0.92078207381370826011","1","2.0000000000000000","2.0000000000000000"
"71-20965,10.0.2.1:0","71-2:0:5c,127.0.0.1:30041","14.0267038660821044","3","17","2.9732961339178956","0","2.0022142509189141","6.6387671050883486"
"71-20965,10.0.3.1:0","71-225,127.0.0.1:30041","37.9384926656550329","5","45","7.0615073343449671","0","4.1236216489630754","7.6246838644410723"
"71-20965,10.0.3.1:0","71-2:0:3b,10.1.0.1:30041","26.3716594728625218","9","33","6.6283405271374782","0","6.0000000000000000","6.0000000000000000"
"71-20965,10.0.3.1:0","71-2:0:3d,10.0.0.1:30041","2.9999525684200541","2","3","0.000047431579945927998862","0","2.0000000000000000","2.0000000000000000"
"71-20965,10.0.3.1:0","71-2:0:3e,10.10.0.1:30041","19.8172772708514833","3","27","7.1827227291485167","0","2.0000000000000000","4.7318996744463295"
"71-20965,10.0.3.1:0","71-2:0:3f,10.10.0.1:30041","13.7020857208342883","5","17","3.2979142791657117","0","4.0000000000000000","4.0000000000000000"
"71-20965,10.0.3.1:0","71-2:0:48,127.0.0.1:30041","13.7275869079081114","2","15","1.2724130920918886","0","4.0002032933523074","7.3931693433624720"
"71-20965,10.0.3.1:0","71-2:0:4a,141.44.25.151:30041","2.0781135194709772","2","3","0.92188648052902277737","1","2.0000000000000000","2.0000000000000000"
"71-20965,10.0.3.1:0","71-2:0:5c,127.0.0.1:30041","14.5225622644977484","3","17","2.4774377355022516","0","2.0007352265416782","6.8581012774561162"
"71-225,10.230.53.144:0","71-20965,10.0.1.1:30041","30.2054422823474688","4","45","14.7945577176525312","0","4.3505698116133034","7.1264439103806497"
"71-225,10.230.53.144:0","71-20965,10.0.2.1:30041","30.2074901139799953","4","45","14.7925098860200047","0","4.3506241761649996","7.1266185934713499"
"71-225,10.230.53.144:0","71-20965,10.0.3.1:30041","30.2133995037220844","4","45","14.7866004962779156","0","4.3504962779156328","7.1270161290322581"
"71-225,10.230.53.144:0","71-2:0:3b,10.1.0.1:30041","35.3286979490366687","2","51","15.6713020509633313","8","4.0007768800497203","8.9243318831572405"
"71-225,10.230.53.144:0","71-2:0:3d,10.0.0.1:30041","36.1246694976364073","8","61","24.8753305023635927","16","6.3605480330101755","8.2142456533931576"
"71-225,10.230.53.144:0","71-2:0:3e,10.10.0.1:30041","36.5608830364058869","2","53","16.4391169635941131","0","4.0015491866769946","6.7752130131680868"
"71-225,10.230.53.144:0","71-2:0:3f,10.10.0.1:30041","33.2564917448259825","1","46","12.7435082551740175","4","2.0007751337105651","6.8740407720331757"
"71-225,10.230.53.144:0","71-2:0:48,127.0.0.1:30041","23.6784504831915421","2","46","22.3215495168084579","23","4.0000000000000000","9.9965309325183778"
"71-225,10.230.53.144:0","71-2:0:4a,141.44.25.151:30041","31.4401211556383970","4","45","13.5598788443616030","0","6.0195712954333644","9.1279900590245418"
"71-225,10.230.53.144:0","71-2:0:5c,127.0.0.1:30041","75.4083794097032941","2","113","37.5916205902967059","2","4.6089868390312281","9.4388287516548555"
"71-2:0:3b,10.1.0.1:0","71-20965,10.0.1.1:30041","17.3980857851825594","9","21","3.6019142148174406","0","6.0000000000000000","6.0000000000000000"
"71-2:0:3b,10.1.0.1:0","71-20965,10.0.2.1:30041","17.3995747319925578","9","21","3.6004252680074422","0","6.0000000000000000","6.0000000000000000"
"71-2:0:3b,10.1.0.1:0","71-20965,10.0.3.1:30041","17.4019147238719972","9","21","3.5980852761280028","0","6.0000000000000000","6.0000000000000000"
"71-2:0:3b,10.1.0.1:0","71-225,127.0.0.1:30041","40.1714313591569909","3","51","10.8285686408430091","8","4.0001951409893648","9.4952678310079032"
"71-2:0:3b,10.1.0.1:0","71-2:0:3d,10.0.0.1:30041","19.7646169354838710","17","37","17.2353830645161290","16","8.0000000000000000","8.0000000000000000"
"71-2:0:3b,10.1.0.1:0","71-2:0:3e,10.10.0.1:30041","16.2625470653377630","5","25","8.7374529346622370","4","4.2034108527131783","6.7961904761904762"
"71-2:0:3b,10.1.0.1:0","71-2:0:3f,10.10.0.1:30041","3.0000000000000000","3","3","0.000000000000000000000000","0","2.0000000000000000","2.0000000000000000"
"71-2:0:3b,10.1.0.1:0","71-2:0:48,127.0.0.1:30041","20.6797719964922537","5","29","8.3202280035077463","8","6.6693949137679041","9.7758939881126376"
"71-2:0:3b,10.1.0.1:0","71-2:0:4a,141.44.25.151:30041","18.0735085227272727","9","21","2.9264914772727273","0","7.9998224431818182","8.0000000000000000"
"71-2:0:3b,10.1.0.1:0","71-2:0:5c,127.0.0.1:30041","49.0269441109777244","17","65","15.9730558890222756","4","6.4347516784491574","9.4660086256724912"
"71-2:0:3d,10.0.0.1:0","71-20965,10.0.1.1:30041","2.9999581257066287","2","3","0.000041874293371299359323","0","2.0000000000000000","2.0000000000000000"
"71-2:0:3d,10.0.0.1:0","71-20965,10.0.2.1:30041","2.9999581239530988","2","3","0.000041876046901172529313","0","2.0000000000000000","2.0000000000000000"
"71-2:0:3d,10.0.0.1:0","71-20965,10.0.3.1:30041","2.9999580888516345","2","3","0.000041911148365465213747","0","2.0000000000000000","2.0000000000000000"
"71-2:0:3d,10.0.0.1:0","71-225,127.0.0.1:30041","50.9284243284060226","9","69","18.0715756715939774","8","6.1091940872271292","9.4544872088233948"
"71-2:0:3d,10.0.0.1:0","71-2:0:3b,10.1.0.1:30041","19.6829953067381830","17","37","17.3170046932618170","16","8.0000000000000000","8.0000000000000000"
"71-2:0:3d,10.0.0.1:0","71-2:0:3e,10.10.0.1:30041","15.1339169773384158","5","21","5.8660830226615842","0","4.0000000000000000","6.4621957860344322"
"71-2:0:3d,10.0.0.1:0","71-2:0:3f,10.10.0.1:30041","17.0222008126335190","9","29","11.9777991873664810","8","6.0000000000000000","6.0000000000000000"
"71-2:0:3d,10.0.0.1:0","71-2:0:48,127.0.0.1:30041","18.8711565942930899","3","21","2.1288434057069101","0","6.0001843912782925","9.0312082238510118"
"71-2:0:3d,10.0.0.1:0","71-2:0:4a,141.44.25.151:30041","3.1721060790146215","2","5","1.8278939209853785","2","4.0000000000000000","4.0000000000000000"
"71-2:0:3d,10.0.0.1:0","71-2:0:5c,127.0.0.1:30041","20.0348129173140721","5","25","4.9651870826859279","0","4.0006719019023223","8.3868475202620417"
"71-2:0:3e,10.10.0.1:0","71-20965,10.0.1.1:30041","14.5680160086713637","3","21","6.4319839913286363","0","2.0000000000000000","4.5238670946762830"
"71-2:0:3e,10.10.0.1:0","71-20965,10.0.2.1:30041","14.5680700291788245","3","21","6.4319299708211755","0","2.0000000000000000","4.5238849520633597"
"71-2:0:3e,10.10.0.1:0","71-20965,10.0.3.1:30041","14.5796545105566219","3","21","6.4203454894433781","0","2.0000000000000000","4.5264124175915881"
