src_scion_addr,dst_scion_addr,avg_paths,min_paths,max_paths,avg_min_hops,avg_max_hops
71-20965,64-2:0:9,3.627246787524328,1.0,5.0,4.0,4.0
71-20965,71-225,35.18077053459082,1.6666666666666667,45.0,4.06487346114936,7.4213119050333285
71-20965,71-2:0:18,2.9255246914255597,1.0,3.0,4.0,4.0
71-20965,71-2:0:3b,24.520835733995824,3.0,33.0,6.0,6.0
71-20965,71-2:0:3d,2.9329056617248805,1.0,3.0,2.0,2.0
71-20965,71-2:0:3e,18.534061931369248,1.0,27.0,2.0,4.626467164328626
71-20965,71-2:0:3f,12.775378637152768,1.6666666666666667,17.0,4.0,4.0
71-20965,71-2:0:48,12.022151073003847,1.0,15.0,4.0,6.79269449530073
71-20965,71-2:0:4a,1.9810673179485079,1.0,2.0,2.0,2.0
71-20965,71-2:0:5c,12.091804508968496,1.0,17.0,2.000746328858846,5.942732201306313
71-20965,71-88,33.49893507480483,2.0,45.0,4.113036298008445,7.315169940005199
71-225,64-2:0:9,75.53582026282324,4.0,89.0,8.020771513353116,11.304154302670623
71-225,71-20965,33.63916481359188,2.0,45.0,4.020408154097431,7.282335947684743
71-225,71-2:0:18,39.783660627102094,2.0,61.0,8.02104806336118,10.288597157426494
71-225,71-2:0:3b,40.229333056736856,2.0,51.0,4.001037236801162,9.909345503578468
71-225,71-2:0:3d,39.83101176978728,2.0,61.0,6.021379980563654,8.288737717309147
71-225,71-2:0:3e,41.38964662120273,2.0,53.0,4.002066542674106,7.261004339739616
71-225,71-2:0:3f,38.9178649012103,1.0,46.0,2.0010344470880312,7.937933174718113
71-225,71-2:0:48,22.703317535545025,2.0,46.0,4.0,9.996208530805687
71-225,71-2:0:4a,33.54916588954512,2.0,45.0,5.578696508133872,9.284012019479846
71-225,71-2:0:5c,73.27542857142858,2.0,100.0,4.7376623376623375,9.289350649350649
71-225,71-88,79.57045101088647,1.0,100.0,4.0,9.939035769828926
71-2:0:3b,64-2:0:9,36.88511567868136,5.0,41.0,10.0,10.0
71-2:0:3b,71-20965,15.971982031083627,4.0,21.0,6.0,6.0
71-2:0:3b,71-225,41.06183077892085,2.0,51.0,4.000209951711106,9.810623556581985
71-2:0:3b,71-2:0:18,18.710886128796577,3.0,21.0,10.0,10.0
71-2:0:3b,71-2:0:3d,18.709368826037224,4.0,21.0,8.0,8.0
71-2:0:3b,71-2:0:3e,14.37891876152577,1.0,21.0,4.0,6.414054158982821
71-2:0:3b,71-2:0:3f,2.9676481983727236,1.0,3.0,2.0,2.0
71-2:0:3b,71-2:0:48,20.98897555902236,7.0,29.0,7.429017160686428,10.0
71-2:0:3b,71-2:0:4a,15.863074978119226,3.0,21.0,8.0,8.0
71-2:0:3b,71-2:0:5c,42.98918444899152,4.0,65.0,6.797037903147228,9.208223716262301
71-2:0:3b,71-88,39.96926070038911,2.0,51.0,4.0,9.641050583657588
71-2:0:3d,64-2:0:9,6.5293558806764205,2.0,9.0,6.0,6.0
71-2:0:3d,71-20965,2.9239023740263064,1.0,3.0,2.0,2.0
71-2:0:3d,71-225,44.8927504481179,2.0,61.0,6.076279625572595,9.176857199761004
71-2:0:3d,71-2:0:18,1.9644018634086313,1.0,2.0,2.0,2.0
71-2:0:3d,71-2:0:3b,18.68205080487578,2.0,21.0,8.0,8.0
71-2:0:3d,71-2:0:3e,13.249348958333334,1.0,21.0,4.0,6.199404761904762
71-2:0:3d,71-2:0:3f,15.034877232142858,2.0,21.0,6.0,6.0
71-2:0:3d,71-2:0:48,16.228694605975537,1.0,21.0,6.0,8.357329055544415
71-2:0:3d,71-2:0:4a,2.92054335690361,1.0,3.0,4.0,4.0
71-2:0:3d,71-2:0:5c,15.480478236502895,1.0,25.0,4.001307677937605,7.296095647300579
71-2:0:3d,71-88,43.376977479992554,1.0,61.0,6.134375581611763,9.099944165270799
71-2:0:3e,64-2:0:9,27.083243243243242,2.0,41.0,6.00972972972973,8.342342342342342
71-2:0:3e,71-20965,13.324821991320428,1.0,21.0,2.0,4.318483325396715
71-2:0:3e,71-225,39.91802187351403,2.0,53.0,4.0,7.161578697099382
71-2:0:3e,71-2:0:18,13.261019217898461,1.0,21.0,6.000764891481021,8.197915670714217
71-2:0:3e,71-2:0:3b,14.145613879791094,2.0,21.0,4.0,6.31530494821634
71-2:0:3e,71-2:0:3d,13.26410231936623,1.0,21.0,4.0,6.199484585282047
71-2:0:3e,71-2:0:3f,13.296876382621006,1.0,21.0,2.0,4.315901247677196
71-2:0:3e,71-2:0:48,14.525896414342629,1.0,17.0,6.0,6.0
71-2:0:3e,71-2:0:4a,13.242118313850513,1.0,21.0,4.0,6.316684378320935
71-2:0:3e,71-2:0:5c,34.73745002221235,1.0,57.0,4.0005330964015995,6.328565082185695
71-2:0:3e,71-88,38.448074369189904,2.0,53.0,4.0,7.033731739707835
71-2:0:3f,64-2:0:9,26.775154004106778,3.0,33.0,8.0,8.0
71-2:0:3f,71-20965,12.574224112651372,1.6666666666666667,17.0,4.0,4.0
71-2:0:3f,71-225,39.773185916702445,1.0,46.0,2.0012881064834693,7.780377844568484
71-2:0:3f,71-2:0:18,15.920870425321464,2.0,21.0,8.0,8.0
71-2:0:3f,71-2:0:3b,2.9571673906455196,1.0,3.0,2.0,2.0
71-2:0:3f,71-2:0:3d,15.894708009203462,2.0,21.0,6.0,6.0
71-2:0:3f,71-2:0:3e,14.372853968895173,1.0,21.0,2.0,4.579276913754797
71-2:0:3f,71-2:0:48,20.74239306984299,2.0,25.0,5.250460205739036,8.0
71-2:0:3f,71-2:0:4a,12.51122572815534,2.0,17.0,6.0,6.0
71-2:0:3f,71-2:0:5c,36.83735550598256,2.0,55.0,4.714459541675117,7.288176840397485
71-2:0:3f,71-88,38.822161561015065,1.0,46.0,2.0,7.632393084622384
71-2:0:48,64-2:0:9,24.995944926442853,2.0,29.0,8.0,10.476801207091663
71-2:0:48,71-20965,11.323585454901817,1.0,15.0,4.0,6.454540609267539
71-2:0:48,71-225,21.969714675236148,1.0,46.0,4.000584282792872,9.998831434414257
71-2:0:48,71-2:0:18,12.548403395311237,1.0,21.0,8.0,8.555780113177041
71-2:0:48,71-2:0:3b,19.785580874112814,4.0,29.0,7.545013074336945,10.0
71-2:0:48,71-2:0:3d,12.5451347004423,1.0,21.0,6.0,6.554081222356253
71-2:0:48,71-2:0:3e,14.364847242921014,1.0,17.0,6.0,6.0
71-2:0:48,71-2:0:3f,19.30570044709389,2.0,25.0,5.54806259314456,8.0
71-2:0:48,71-2:0:4a,11.2662749487036,1.0,15.0,5.413542249580302,8.044394702480881
71-2:0:48,71-2:0:5c,22.24869109947644,1.0,30.0,4.767950635751683,8.456619296933432
71-2:0:48,71-88,22.01194698525294,4.0,46.0,4.0,10.0
71-2:0:4a,64-2:0:9,3.665896302250804,1.0,5.0,6.0,6.0
71-2:0:4a,71-20965,1.9801402290772037,1.0,2.0,2.0,2.0
71-2:0:4a,71-225,33.90925341745531,2.0,45.0,5.723659305993691,9.317350157728706
71-2:0:4a,71-2:0:18,2.920712837477324,1.0,3.0,6.0,6.0
71-2:0:4a,71-2:0:3b,23.2915023659306,3.0,33.0,8.0,8.0
71-2:0:4a,71-2:0:3d,2.9203953661388034,1.0,3.0,4.0,4.0
71-2:0:4a,71-2:0:3e,17.374077354591083,1.0,27.0,4.0,6.48085818324968
71-2:0:4a,71-2:0:3f,12.287072429677545,2.0,17.0,6.0,6.0
71-2:0:4a,71-2:0:48,11.841236682682265,1.0,15.0,5.653645289325256,8.46835178608732
71-2:0:4a,71-2:0:5c,11.548377493301578,1.0,17.0,4.0001984717673915,7.7328570010915945
71-2:0:4a,71-88,32.750466463714034,2.0,45.0,5.786506923303545,9.244426986153393
71-2:0:5c,64-2:0:9,6.515411271201897,1.0,9.0,6.0,6.0
71-2:0:5c,71-20965,2.988684820919857,1.0,3.0,2.0,2.0
71-2:0:5c,71-225,64.44142761201189,2.0,89.0,6.076561450638012,9.247241677060348
71-2:0:5c,71-2:0:18,4.892347725520432,1.0,5.0,6.0,6.0
71-2:0:5c,71-2:0:3b,44.44513068385249,4.0,65.0,8.0,8.0
71-2:0:5c,71-2:0:3d,4.879811846020927,1.0,5.0,4.0,4.0
71-2:0:5c,71-2:0:3e,32.62725809336433,1.0,53.0,4.0,6.351636558755142
71-2:0:5c,71-2:0:3f,22.730621367903442,1.0,33.0,6.0,6.0
71-2:0:5c,71-2:0:48,22.135708797541298,1.0,29.0,6.0,8.512101421436803
71-2:0:5c,71-2:0:4a,2.9879777498654225,1.0,3.0,4.0,4.0
71-2:0:5c,71-88,61.98451763021299,2.0,89.0,6.127438696975121,9.17612314301056
